week_end,indicator,high_industry,value
05/05/2019,Number of Paid Jobs - 6 days,A Primary,67670
05/05/2019,Number of Paid Jobs - 6 days,B Goods Producing,332730
05/05/2019,Number of Paid Jobs - 6 days,C Services,1026630
05/05/2019,Number of Paid Jobs - 6 days,Total,1438160
05/05/2019,Number of Paid Jobs - 13 days,A Primary,87870
05/05/2019,Number of Paid Jobs - 13 days,B Goods Producing,391050
05/05/2019,Number of Paid Jobs - 13 days,C Services,1487360
05/05/2019,Number of Paid Jobs - 13 days,Total,1982770
05/05/2019,Number of Paid Jobs - 27 days,A Primary,93750
05/05/2019,Number of Paid Jobs - 27 days,B Goods Producing,403260
05/05/2019,Number of Paid Jobs - 27 days,C Services,1562050
05/05/2019,Number of Paid Jobs - 27 days,Total,2077690
12/05/2019,Number of Paid Jobs - 6 days,A Primary,62170
12/05/2019,Number of Paid Jobs - 6 days,B Goods Producing,335420
12/05/2019,Number of Paid Jobs - 6 days,C Services,1135430
12/05/2019,Number of Paid Jobs - 6 days,Total,1542750
12/05/2019,Number of Paid Jobs - 13 days,A Primary,81800
12/05/2019,Number of Paid Jobs - 13 days,B Goods Producing,383840
12/05/2019,Number of Paid Jobs - 13 days,C Services,1436730
12/05/2019,Number of Paid Jobs - 13 days,Total,1916390
12/05/2019,Number of Paid Jobs - 27 days,A Primary,88730
12/05/2019,Number of Paid Jobs - 27 days,B Goods Producing,396840
12/05/2019,Number of Paid Jobs - 27 days,C Services,1555470
12/05/2019,Number of Paid Jobs - 27 days,Total,2057780
19/05/2019,Number of Paid Jobs - 6 days,A Primary,64030
19/05/2019,Number of Paid Jobs - 6 days,B Goods Producing,333960
19/05/2019,Number of Paid Jobs - 6 days,C Services,1141830
19/05/2019,Number of Paid Jobs - 6 days,Total,1550180
19/05/2019,Number of Paid Jobs - 13 days,A Primary,84480
19/05/2019,Number of Paid Jobs - 13 days,B Goods Producing,387020
19/05/2019,Number of Paid Jobs - 13 days,C Services,1479630
19/05/2019,Number of Paid Jobs - 13 days,Total,1966650
19/05/2019,Number of Paid Jobs - 27 days,A Primary,90520
19/05/2019,Number of Paid Jobs - 27 days,B Goods Producing,399380
19/05/2019,Number of Paid Jobs - 27 days,C Services,1562440
19/05/2019,Number of Paid Jobs - 27 days,Total,2070140
26/05/2019,Number of Paid Jobs - 6 days,A Primary,67310
26/05/2019,Number of Paid Jobs - 6 days,B Goods Producing,351740
26/05/2019,Number of Paid Jobs - 6 days,C Services,1200830
26/05/2019,Number of Paid Jobs - 6 days,Total,1631210
26/05/2019,Number of Paid Jobs - 13 days,A Primary,84800
26/05/2019,Number of Paid Jobs - 13 days,B Goods Producing,388760
26/05/2019,Number of Paid Jobs - 13 days,C Services,1498350
26/05/2019,Number of Paid Jobs - 13 days,Total,1987800
26/05/2019,Number of Paid Jobs - 27 days,A Primary,91700
26/05/2019,Number of Paid Jobs - 27 days,B Goods Producing,402070
26/05/2019,Number of Paid Jobs - 27 days,C Services,1592470
26/05/2019,Number of Paid Jobs - 27 days,Total,2105540
02/06/2019,Number of Paid Jobs - 6 days,A Primary,65680
02/06/2019,Number of Paid Jobs - 6 days,B Goods Producing,343550
02/06/2019,Number of Paid Jobs - 6 days,C Services,1194110
02/06/2019,Number of Paid Jobs - 6 days,Total,1615770
02/06/2019,Number of Paid Jobs - 13 days,A Primary,85040
02/06/2019,Number of Paid Jobs - 13 days,B Goods Producing,392300
02/06/2019,Number of Paid Jobs - 13 days,C Services,1524200
02/06/2019,Number of Paid Jobs - 13 days,Total,2019650
02/06/2019,Number of Paid Jobs - 27 days,A Primary,91150
02/06/2019,Number of Paid Jobs - 27 days,B Goods Producing,404620
02/06/2019,Number of Paid Jobs - 27 days,C Services,1599130
02/06/2019,Number of Paid Jobs - 27 days,Total,2116310
09/06/2019,Number of Paid Jobs - 6 days,A Primary,59070
09/06/2019,Number of Paid Jobs - 6 days,B Goods Producing,319150
09/06/2019,Number of Paid Jobs - 6 days,C Services,1092910
09/06/2019,Number of Paid Jobs - 6 days,Total,1482630
09/06/2019,Number of Paid Jobs - 13 days,A Primary,79760
09/06/2019,Number of Paid Jobs - 13 days,B Goods Producing,385430
09/06/2019,Number of Paid Jobs - 13 days,C Services,1487190
09/06/2019,Number of Paid Jobs - 13 days,Total,1969960
09/06/2019,Number of Paid Jobs - 27 days,A Primary,86480
09/06/2019,Number of Paid Jobs - 27 days,B Goods Producing,399920
09/06/2019,Number of Paid Jobs - 27 days,C Services,1578360
09/06/2019,Number of Paid Jobs - 27 days,Total,2086090
16/06/2019,Number of Paid Jobs - 6 days,A Primary,62600
16/06/2019,Number of Paid Jobs - 6 days,B Goods Producing,338850
16/06/2019,Number of Paid Jobs - 6 days,C Services,1211930
16/06/2019,Number of Paid Jobs - 6 days,Total,1626400
16/06/2019,Number of Paid Jobs - 13 days,A Primary,80030
16/06/2019,Number of Paid Jobs - 13 days,B Goods Producing,388210
16/06/2019,Number of Paid Jobs - 13 days,C Services,1517250
16/06/2019,Number of Paid Jobs - 13 days,Total,2005680
16/06/2019,Number of Paid Jobs - 27 days,A Primary,87080
16/06/2019,Number of Paid Jobs - 27 days,B Goods Producing,399510
16/06/2019,Number of Paid Jobs - 27 days,C Services,1583510
16/06/2019,Number of Paid Jobs - 27 days,Total,2093440
23/06/2019,Number of Paid Jobs - 6 days,A Primary,62520
23/06/2019,Number of Paid Jobs - 6 days,B Goods Producing,346920
23/06/2019,Number of Paid Jobs - 6 days,C Services,1176980
23/06/2019,Number of Paid Jobs - 6 days,Total,1601960
23/06/2019,Number of Paid Jobs - 13 days,A Primary,83410
23/06/2019,Number of Paid Jobs - 13 days,B Goods Producing,390610
23/06/2019,Number of Paid Jobs - 13 days,C Services,1513040
23/06/2019,Number of Paid Jobs - 13 days,Total,2008290
23/06/2019,Number of Paid Jobs - 27 days,A Primary,87630
23/06/2019,Number of Paid Jobs - 27 days,B Goods Producing,400980
23/06/2019,Number of Paid Jobs - 27 days,C Services,1590330
23/06/2019,Number of Paid Jobs - 27 days,Total,2103890
30/06/2019,Number of Paid Jobs - 6 days,A Primary,66420
30/06/2019,Number of Paid Jobs - 6 days,B Goods Producing,343090
30/06/2019,Number of Paid Jobs - 6 days,C Services,1215660
30/06/2019,Number of Paid Jobs - 6 days,Total,1640830
30/06/2019,Number of Paid Jobs - 13 days,A Primary,83520
30/06/2019,Number of Paid Jobs - 13 days,B Goods Producing,390520
30/06/2019,Number of Paid Jobs - 13 days,C Services,1507350
30/06/2019,Number of Paid Jobs - 13 days,Total,2006160
30/06/2019,Number of Paid Jobs - 27 days,A Primary,88290
30/06/2019,Number of Paid Jobs - 27 days,B Goods Producing,400060
30/06/2019,Number of Paid Jobs - 27 days,C Services,1586200
30/06/2019,Number of Paid Jobs - 27 days,Total,2101300
07/07/2019,Number of Paid Jobs - 6 days,A Primary,58100
07/07/2019,Number of Paid Jobs - 6 days,B Goods Producing,312550
07/07/2019,Number of Paid Jobs - 6 days,C Services,1089840
07/07/2019,Number of Paid Jobs - 6 days,Total,1474190
07/07/2019,Number of Paid Jobs - 13 days,A Primary,78340
07/07/2019,Number of Paid Jobs - 13 days,B Goods Producing,379290
07/07/2019,Number of Paid Jobs - 13 days,C Services,1472420
07/07/2019,Number of Paid Jobs - 13 days,Total,1949240
07/07/2019,Number of Paid Jobs - 27 days,A Primary,85740
07/07/2019,Number of Paid Jobs - 27 days,B Goods Producing,396500
07/07/2019,Number of Paid Jobs - 27 days,C Services,1572330
07/07/2019,Number of Paid Jobs - 27 days,Total,2076690
14/07/2019,Number of Paid Jobs - 6 days,A Primary,61570
14/07/2019,Number of Paid Jobs - 6 days,B Goods Producing,334100
14/07/2019,Number of Paid Jobs - 6 days,C Services,1173570
14/07/2019,Number of Paid Jobs - 6 days,Total,1584690
14/07/2019,Number of Paid Jobs - 13 days,A Primary,81430
14/07/2019,Number of Paid Jobs - 13 days,B Goods Producing,385500
14/07/2019,Number of Paid Jobs - 13 days,C Services,1473960
14/07/2019,Number of Paid Jobs - 13 days,Total,1962280
14/07/2019,Number of Paid Jobs - 27 days,A Primary,88200
14/07/2019,Number of Paid Jobs - 27 days,B Goods Producing,399040
14/07/2019,Number of Paid Jobs - 27 days,C Services,1574440
14/07/2019,Number of Paid Jobs - 27 days,Total,2085500
21/07/2019,Number of Paid Jobs - 6 days,A Primary,63610
21/07/2019,Number of Paid Jobs - 6 days,B Goods Producing,346970
21/07/2019,Number of Paid Jobs - 6 days,C Services,1179730
21/07/2019,Number of Paid Jobs - 6 days,Total,1608950
21/07/2019,Number of Paid Jobs - 13 days,A Primary,83200
21/07/2019,Number of Paid Jobs - 13 days,B Goods Producing,389310
21/07/2019,Number of Paid Jobs - 13 days,C Services,1525850
21/07/2019,Number of Paid Jobs - 13 days,Total,2022530
21/07/2019,Number of Paid Jobs - 27 days,A Primary,88100
21/07/2019,Number of Paid Jobs - 27 days,B Goods Producing,400380
21/07/2019,Number of Paid Jobs - 27 days,C Services,1594130
21/07/2019,Number of Paid Jobs - 27 days,Total,2109350
28/07/2019,Number of Paid Jobs - 6 days,A Primary,64650
28/07/2019,Number of Paid Jobs - 6 days,B Goods Producing,343720
28/07/2019,Number of Paid Jobs - 6 days,C Services,1234440
28/07/2019,Number of Paid Jobs - 6 days,Total,1663260
28/07/2019,Number of Paid Jobs - 13 days,A Primary,84940
